time,location,bandwidth,Vid_type_mean,Vid_pltform_mean,Vid_pltform_ML_mean,Vid_number_mean,Vid_begin_mean,Vid_end_mean,Avg_throughput_uldl_mean,Avg_throughput_uldl_min,Avg_throughput_uldl_max,mean_size_frame_uldl_mean_mean,mean_size_frame_uldl_mean_min,mean_size_frame_uldl_mean_max,burst_size_uldl_mean_mean,burst_size_uldl_mean_min,burst_size_uldl_mean_max,burst_num_of_packets_uldl_mean_mean,burst_num_of_packets_uldl_mean_min,burst_num_of_packets_uldl_mean_max,Avg_throughput_dl_mean,Avg_throughput_dl_min,Avg_throughput_dl_max,Avg_throughput_ul_mean,Avg_throughput_ul_min,Avg_throughput_ul_max,maxserverburstsize_mean,maxserverburstsize_min,maxserverburstsize_max,maxserverbursttime_mean,maxserverbursttime_min,maxserverbursttime_max,maxserverburstrate_mean,maxserverburstrate_min,maxserverburstrate_max,maxserverburstpacket_mean,maxserverburstpacket_min,maxserverburstpacket_max,maxclientburstsize_mean,maxclientburstsize_min,maxclientburstsize_max,maxclientbursttime_mean,maxclientbursttime_min,maxclientbursttime_max,maxclientburstrate_mean,maxclientburstrate_min,maxclientburstrate_max,maxclientburstpacket_mean,maxclientburstpacket_min,maxclientburstpacket_max,burst_duration_ul_mean_mean,burst_duration_ul_mean_min,burst_duration_ul_mean_max,burst_gap_ul_mean_mean,burst_gap_ul_mean_min,burst_gap_ul_mean_max,burst_sizerate_ul_mean_mean,burst_sizerate_ul_mean_min,burst_sizerate_ul_mean_max,mean_gap_frame_ul_mean_mean,mean_gap_frame_ul_mean_min,mean_gap_frame_ul_mean_max,mean_size_frame_ul_mean_mean,mean_size_frame_ul_mean_min,mean_size_frame_ul_mean_max,burst_size_ul_mean_mean,burst_size_ul_mean_min,burst_size_ul_mean_max,burst_num_of_packets_ul_mean_mean,burst_num_of_packets_ul_mean_min,burst_num_of_packets_ul_mean_max,burst_duration_dl_mean_mean,burst_duration_dl_mean_min,burst_duration_dl_mean_max,burst_gap_dl_mean_mean,burst_gap_dl_mean_min,burst_gap_dl_mean_max,burst_sizerate_dl_mean_mean,burst_sizerate_dl_mean_min,burst_sizerate_dl_mean_max,mean_gap_frame_dl_mean_mean,mean_gap_frame_dl_mean_min,mean_gap_frame_dl_mean_max,mean_size_frame_dl_mean_mean,mean_size_frame_dl_mean_min,mean_size_frame_dl_mean_max,burst_size_dl_mean_mean,burst_size_dl_mean_min,burst_size_dl_mean_max,burst_num_of_packets_dl_mean_mean,burst_num_of_packets_dl_mean_min,burst_num_of_packets_dl_mean_max,Max_rtt_mean,Max_rtt_min,Max_rtt_max,Avg_rtt_mean,Avg_rtt_min,Avg_rtt_max,Packet_loss_mean,Packet_loss_min,Packet_loss_max,flow_ct,Avg_throughput_uldl_sum,mean_size_frame_uldl_mean_sum,burst_size_uldl_mean_sum,burst_num_of_packets_uldl_mean_sum,Avg_throughput_dl_sum,Avg_throughput_ul_sum,maxserverburstsize_sum,maxserverbursttime_sum,maxserverburstrate_sum,maxserverburstpacket_sum,maxclientburstsize_sum,maxclientbursttime_sum,maxclientburstrate_sum,maxclientburstpacket_sum,burst_duration_ul_mean_sum,burst_gap_ul_mean_sum,burst_sizerate_ul_mean_sum,mean_gap_frame_ul_mean_sum,mean_size_frame_ul_mean_sum,burst_size_ul_mean_sum,burst_num_of_packets_ul_mean_sum,burst_duration_dl_mean_sum,burst_gap_dl_mean_sum,burst_sizerate_dl_mean_sum,mean_gap_frame_dl_mean_sum,mean_size_frame_dl_mean_sum,burst_size_dl_mean_sum,burst_num_of_packets_dl_mean_sum,Max_rtt_sum,Avg_rtt_sum,Packet_loss_sum,flow_gap_mean,flow_gap_sum,flow_gap_max,flow_gap_min
1,1,3,1.0,0.0,0.0,28.0,1588643143.0,1588643365.0,508405.6159484936,171.02154506722516,1972694.3057328104,605.9875019877472,271.7833333333333,1370.7597333790748,2271.488582860098,424.3666666666666,7657.433365965001,3.9243863757082584,2.518137395803392,7.079408107029642,495484.93703991803,88.30567716117035,1945168.1348890339,12920.678908575523,82.71586790605481,27526.170843776592,65734.5,488.0,248448.0,0.006246984004974365,0.0,0.019064903259277344,4072178.6099724094,0.0,13031694.76504427,51.75,1.0,192.0,1150.75,527.0,1802.0,0.11604946851730347,0.0006878376007080077,0.3514111042022705,298197.9513354798,4439.245036212833,1038035.7213171576,3.0,2.0,4.0,0.0011063868308311485,0.00014140208562215167,0.0019649372619836513,0.16449495162701258,0.031004593189054724,0.5002613413631241,12527913.335240936,2407384.628301828,26207386.79740112,0.0006126633482933241,8.962500000000001e-05,0.0008646020408163265,144.51310429724975,92.88414432429764,195.29327286470144,192.2764079252893,112.40438453562435,258.4166666666667,1.3598469161031321,1.194489705228855,1.6666666666666667,0.00401156833704137,0.00012344121932983398,0.007930240808206793,6.178379410709288,0.02309381069597664,24.01027798652649,2841333.628884762,67305.74708266162,9782337.081621878,0.0014940863736664276,0.000109675,0.0038841,461.4743976904975,155.53333333333333,1277.875589054777,2079.212174934809,242.4,7545.0289814293765,2.5645394596051263,1.2732394366197184,5.884918401800787,0.1221805,0.090276,0.154085,0.027772095238095235,0.013584476190476192,0.04195971428571428,17.25,0.0,48.0,4.0,2033622.4637939744,2423.950007950989,9085.954331440393,15.697545502833034,1981939.7481596721,51682.71563430209,262938.0,0.02498793601989746,16288714.439889638,207.0,4603.0,0.46419787406921387,1192791.8053419192,12.0,0.004425547323324594,0.6579798065080503,50111653.34096374,0.0024506533931732966,578.052417188999,769.1056317011572,5.4393876644125285,0.01604627334816548,24.713517642837154,11365334.515539048,0.00597634549466571,1845.89759076199,8316.848699739236,10.258157838420505,0.488722,0.11108838095238094,69.0,0.3043769995371501,0.9131309986114502,0.8484499454498291,0.002826213836669922
3,3,0,1.0,0.0,0.0,13.0,1588291048.0,1588291174.0,329230.9693409571,71.80554382363604,4562196.980788021,488.71141300033605,79.0,1314.0911536510723,1994.5641236317383,139.0,12641.272933740081,3.9304207441530403,2.0,11.426193979188728,322423.67602979095,71.80554382363604,4514867.378221998,6807.29331116612,0.0,47329.602566023656,14573.947368421053,85.0,138873.0,0.042655656212254575,0.0,0.7032859325408936,409653447.2577803,0.0,1997537280.0,12.631578947368421,1.0,112.0,1413.7894736842106,0.0,12690.0,0.003085989701120477,0.0,0.028690099716186523,1185420.2257121461,0.0,13289817.168539327,4.052631578947368,0.0,23.0,0.0012486912447563084,0.0,0.017424853224503368,3.5461735197237245,0.0,10.567752881483598,610741.7770277577,0.0,6677904.302610386,0.001069981998204236,0.0,0.016879223684210527,153.32670228897564,0.0,689.2,295.1854410524124,0.0,2478.8,1.377002510736783,0.0,2.333333333333333,0.0021784002654201703,0.0,0.0072037763554001905,2.4709033504765507,0.0,8.028512501716614,59578881.19129773,0.0,199648870.4,0.0007983120426879403,0.0,0.002926771317829457,335.38471071136047,79.0,1228.2238250259982,1699.3786825793259,85.0,12507.486127625842,2.5534182334162576,1.0,9.891399128022195,0.11366981818181818,0.047063,0.195713,0.04002504223489492,0.020019952380952367,0.10144558333333333,27.36842105263158,0.0,129.0,19.0,6255388.417478185,9285.516847006385,37896.71834900303,74.67799413890776,6126049.844566028,129338.57291215628,276905.0,0.8104574680328369,7783415497.897826,240.0,26862.000000000004,0.05863380432128906,22522984.28853078,77.0,0.02372513365036986,67.37729687475077,11604093.763527397,0.020329657965880484,2913.207343490537,5608.523379995835,26.163047703998874,0.04138960504298324,46.94716365905447,1131998742.634657,0.015167928811070866,6372.3095035158485,32288.194969007192,48.51494643490889,2.1597265454545456,0.7604758024630035,520.0,1.5066982242796156,27.12056803703308,18.890095949172974,6.580352783203125e-05
3,2,0,1.0,0.0,0.0,4.0,1584871331.0,1584871594.0,208468.9098899726,614.5119640200114,2799363.752970678,573.816562316477,297.460989010989,1320.5259240281391,7357.793738642351,386.6881868131868,61918.74803257206,9.149371253576467,2.337912087912088,52.21913263168854,205986.4737391234,346.39716539574033,2776869.4030034,2482.4361508491647,115.12222154835823,22494.349967277525,34808.28571428572,3263.0,161458.0,0.011474524225507463,7.700920104980469e-05,0.11013507843017578,15634439.228534117,1144254.130456923,43436368.0495356,26.214285714285715,3.0,121.0,2348.0,252.0,9327.0,0.025581955909729004,0.0,0.15613603591918945,660766.7021286611,0.0,4724670.701449275,13.857142857142858,1.0,64.0,0.004120591405476681,1.4901161193847654e-07,0.016186058573971592,3.291656553556068,0.09624501176782556,9.389349835259576,9269781.89763988,46540.354667260166,36633878.131225415,0.0017591741914214992,6.25e-08,0.007985132224719433,142.86360416103938,87.35700372772959,263.96718146718143,326.6906131826137,125.85714285714286,1009.5945945945946,2.6804439290570956,1.1071428571428572,5.836427939876216,0.0016349229142074476,1.8358230590820312e-05,0.007918871366060697,5.573928395475311,0.1385000262941633,13.126475763320922,5324477.316712791,291437.16824481176,13199663.840463756,0.0006879203238131469,9.166666666666666e-06,0.007906929487179488,430.95295815543756,138.29134615384615,1233.1689203004096,7031.103125459738,208.88461538461544,61440.43238270469,6.468927324519371,1.2307692307692308,46.38270469181232,0.35623757142857154,0.183836,2.291836,0.08517759942253708,0.04210018579234973,0.12179884615384615,4.857142857142857,0.0,66.0,14.0,2918564.7384596164,8033.431872430678,103009.11234099291,128.09119755007055,2883810.6323477277,34754.10611188831,487316.00000000006,0.1606433391571045,218882149.19947764,367.0,32872.0,0.35814738273620605,9250733.829801256,194.0,0.05768827967667353,46.08319174978495,129776946.56695832,0.02462843867990099,2000.0904582545513,4573.668584556592,37.52621500679934,0.022888920798904266,78.03499753665434,74542682.43397908,0.009630884533384057,6033.341414176126,98435.44375643633,90.5649825432712,4.987326000000001,1.192486391915519,68.0,1.8476184698251576,24.01904010772705,13.93052077293396,0.0016932487487792969
1,1,0,1.0,0.0,0.0,35.0,1587865248.0,1587865429.0,467414.0993561673,223.59385770187288,3281105.7056112653,483.4571235414072,106.0,1283.2811257826038,3449.286700553216,106.0,19913.539012777605,4.917518548674693,1.0,17.544707332445327,435575.8080149863,184.37352942068577,3254571.874183746,31838.29134118101,0.0,225535.23566007343,24377.5,0.0,175009.0,0.053853511810302734,0.0,0.34183502197265625,4248820.804771361,0.0,27448992.17470645,20.375,0.0,137.0,4660.125,106.0,12857.0,0.006509751081466675,0.0,0.03338193893432617,15131402.65695567,0.0,112197632.0,5.75,1.0,11.0,0.0013134939153308287,0.0,0.006223913866916158,3.609021962883171,0.0,13.296048680941265,7507557.063669053,0.0,37630799.555506624,0.0005261594630893001,0.0,0.0027206931022188572,206.38485938769418,83.11768409889294,499.9818181818181,665.1839951846695,106.0,2473.8,1.7104788889410667,1.0,3.0,0.009084169234678793,0.0,0.03272517522176107,3.192569708620528,0.0,9.969375133514404,3064507.366917276,0.0,10949891.972034268,0.003699088985370974,0.0,0.010921517241379313,277.07226415371304,0.0,1200.1634416837107,2784.1027053685466,0.0,19752.08374384237,3.207039659733626,0.0,15.60864805692392,0.106627,0.106627,0.106627,0.020608406250000003,0.020608406250000003,0.020608406250000003,0.0,0.0,0.0,8.0,3739312.7948493385,3867.6569883312577,27594.29360442573,39.34014838939754,3484606.4641198902,254706.3307294481,195020.0,0.4308280944824219,33990566.43817089,163.0,37281.0,0.0520780086517334,121051221.25564536,46.0,0.01050795132264663,28.872175703065366,60060456.50935242,0.004209275704714401,1651.0788751015534,5321.471961477356,13.683831111528534,0.07267335387743035,25.540557668964222,24516058.935338207,0.029592711882967793,2216.5781132297043,22272.821642948373,25.656317277869007,0.853016,0.16486725000000002,0.0,17.70630386897496,123.9441270828247,51.08245301246643,0.1812880039215088
2,1,3,0.0,0.0,0.0,15.0,1588472015.0,1588472136.0,536498.8843133787,244.37083900818348,2962727.49781559,547.9181384325454,0.0,1358.9770072520078,1249.0828428580967,0.0,5342.941170165268,3.1058998121190466,0.0,5.266535049060604,521263.9032868724,126.67436546473527,2962727.49781559,15234.981026506224,0.0,65016.32536962193,18589.833333333332,0.0,172102.0,0.01847509543100993,0.0,0.209197998046875,13015494.715189086,0.0,60304770.84444445,15.75,0.0,133.0,800.0,0.0,1959.0,0.011263350645701093,0.0,0.13141393661499026,81400576.58515704,0.0,772684003.5555557,1.9166666666666667,0.0,5.0,0.00021492340408032506,0.0,0.0014067887818535274,1.5004067322808161,0.0,6.129272434446548,21780455.5669732,0.0,198810009.6,0.00014067723187877301,0.0,0.0005991162153347085,144.52845064390442,0.0,441.7619047619048,196.65432748994394,0.0,603.5714285714286,1.2978133498681443,0.0,3.0,0.0013959776802155625,0.0,0.008363445009158263,2.4033099791117905,0.0,10.837371667226158,3616471.1110781026,0.0,13138122.911886988,0.0005880062259275959,0.0,0.0027325868073439052,403.3896877886411,0.0,1263.9545880920275,1052.4285153681528,0.0,5234.287708484409,1.8080864622509025,0.0,4.124365482233503,0.0869782,0.01759,0.177049,0.019433478229665076,0.010090583333333332,0.02867966666666667,10.166666666666666,0.0,44.0,12.0,6437986.611760545,6575.017661190545,14988.99411429716,37.27079774542856,6255166.839442468,182819.77231807468,223078.0,0.22170114517211914,156185936.58226904,189.0,9600.0,0.1351602077484131,976806919.0218844,23.0,0.0025790808489639006,18.004880787369792,261365466.8036784,0.0016881267825452763,1734.341407726853,2359.851929879327,15.573760198417732,0.01675173216258675,28.839719749341484,43397653.33293723,0.007056074711131151,4840.676253463693,12629.142184417833,21.69703754701083,1.0437384,0.2332017387559809,122.0,9.032862186431885,99.36148405075073,40.418493032455444,0.0001533031463623047
2,1,0,0.0,0.0,0.0,17.0,1587274842.0,1587274962.0,2372583.790469384,56.184097993472406,21817285.004115228,512.5963134162367,0.0,1317.8083333333334,3436.1176059556924,0.0,22664.41198980266,4.7301922460005965,0.0,20.10703307450527,2325668.4707690533,56.184097993472406,21817285.004115228,46915.31970033065,0.0,421461.45602988097,21513.636363636364,0.0,204616.0,0.03166599707169966,0.0,0.2763791084289551,3308927.9545917455,0.0,11629661.090909092,18.454545454545453,0.0,161.0,2286.6363636363635,0.0,12714.0,0.005799922076138583,0.0,0.05309009552001953,610325.1307743452,0.0,5706407.817656501,3.8181818181818183,0.0,19.0,0.0015716756622114122,0.0,0.010902627938420659,0.4648881120759489,0.0,4.106468044794523,4685124.573518041,0.0,45381872.78492925,0.0006704640437260825,0.0,0.0055302456579541465,210.1988099168759,0.0,1038.8916666666667,667.9378338659739,0.0,4533.666666666667,1.3688356796174852,0.0,4.666666666666667,0.015070640494047827,0.0,0.06382640202840169,2.3843254051244243,0.0,16.252341747283936,4172660.9014125317,0.0,17055019.76996763,0.009417837686713115,0.0,0.056117857142857136,302.3975034993608,0.0,1172.4075624728212,2768.179772089719,0.0,22464.148548942445,3.3613565663831113,0.0,17.922282341367442,0.15126733333333334,0.053020000000000005,0.240975,0.028798132716049377,0.015920416666666663,0.04436249999999999,0.45454545454545453,0.0,2.0,11.0,26098421.69516322,5638.559447578604,37797.29366551262,52.03211470600656,25582353.178459585,516068.51670363714,236650.0,0.3483259677886963,36398207.5005092,203.0,25153.0,0.06379914283752441,6713576.438517798,42.0,0.017288432284325535,5.113769232835438,51536370.308698446,0.007375104480986908,2312.186909085635,7347.316172525712,15.057192475792338,0.1657770454345261,26.227579456368666,45899269.91553785,0.10359621455384427,3326.372538492969,30449.97749298691,36.974922230214226,1.6639406666666667,0.31677945987654316,5.0,6.973864912986755,69.73864912986755,51.11758303642273,0.002130746841430664
2,1,0,1.0,0.0,0.0,5.0,1587183016.0,1587183136.0,1240386.6273018036,120.05401711425269,8001396.793316147,525.6793459732038,79.0,1321.8537191295416,4442.995505302565,158.0,24648.39751399856,6.303023355000971,2.0,21.439615865959187,1200837.684273327,120.05401711425269,7942622.855605086,39548.9430284765,0.0,216167.24040593137,24793.714285714286,158.0,162557.0,0.07256085532052177,1.4066696166992188e-05,0.2966108322143555,2920675.890632397,1169.8831003893656,11232203.93220339,21.285714285714285,2.0,127.0,2455.0,0.0,9456.0,0.003827878407069615,0.0,0.011816024780273438,694956.6875550634,0.0,2744896.1957186544,4.0,0.0,8.0,0.0010133734036115564,0.0,0.0031594083007757644,2.0280862054578077,0.0,4.822238869137234,7351266.558094024,0.0,32726450.87060521,0.00044753420572537784,0.0,0.001437364156630933,223.7101449201523,0.0,727.190476190476,609.7144462112699,0.0,2396.333333333333,1.6900787876564645,0.0,3.0,0.055731584480506025,1.4066696166992188e-05,0.2420065999031067,4.375725338962119,0.0,16.502474069595337,6419808.861008929,230.7810304158744,14562743.13430808,0.021537431807260636,1.4000000000000001e-05,0.06311144444444444,301.96920105305145,79.0,1239.3880532046935,3833.281059091295,157.45,24466.254913639063,4.612944567344507,1.2,19.228111971411554,0.172326,0.172326,0.172326,0.03953856000000002,0.03953856000000002,0.03953856000000002,0.0,0.0,0.0,7.0,8682706.391112626,3679.7554218124264,31100.968537117955,44.1211634850068,8405863.78991329,276842.6011993355,173556.0,0.5079259872436523,20444731.234426778,149.0,17185.0,0.026795148849487305,4864696.812885444,28.0,0.007093613825280895,14.196603438204654,51458865.906658165,0.0031327394400776447,1565.971014441066,4268.001123478889,11.830551513595251,0.39012109136354217,30.63007737273483,44938662.027062505,0.15076202265082445,2113.78440737136,26832.967413639064,32.29061197141155,1.206282,0.27676992000000017,0.0,9.99932849407196,59.99597096443176,44.36977696418762,0.16558623313903809
1,1,2,0.0,0.0,0.0,36.0,1587607178.0,1587607300.0,380859.46740402875,208.6245262590252,1951224.0882426696,675.5857275361957,200.0,1318.7461122211123,3512.1367770838806,239.5,18307.256864764648,5.154316050961038,2.213913043478261,16.34906787516737,336287.42519685003,208.6245262590252,1929800.9911096287,44572.04220717876,0.0,367779.7325354544,32493.8,158.0,273927.0,0.07577981948852539,0.0,0.4031860828399658,34673487.41273983,0.0,160085427.31057546,26.6,1.0,212.0,3032.8,107.0,12529.0,0.06365642547607422,0.0,0.38172101974487305,45921184.72459744,0.0,230686720.0,4.2,1.0,12.0,0.0031051173727519544,0.0,0.015457730364978762,1.7335450978585558,0.0,8.323399424552917,15145876.842481187,0.0,98363273.16445476,0.0018140530350521885,0.0,0.00945064,225.1164726415716,104.2515471996675,789.5555555555555,742.9183204434335,107.0,4535.666666666667,1.8597267610158035,1.0,4.666666666666667,0.015874632499181886,0.0,0.06388092041015625,3.397615339377972,0.0004885196685791017,21.66752902666728,14394982.32750597,0.0,64877022.90957087,0.009657929533222023,0.0,0.04576204347826087,450.4692548946241,93.0,1193.507372267395,2769.2184566404476,132.5,18097.795962509008,3.2945892899452347,1.0,14.32876712328767,0.26394366666666663,0.107862,0.470836,0.061251656790123454,0.032713,0.10907937037037037,1.1,0.0,5.0,10.0,3808594.6740402877,6755.857275361957,35121.367770838806,51.543160509610374,3362874.2519685,445720.42207178765,324938.0,0.7577981948852539,346734874.12739825,266.0,30328.0,0.6365642547607422,459211847.2459744,42.0,0.031051173727519546,17.33545097858556,151458768.42481187,0.018140530350521884,2251.164726415716,7429.183204434335,18.597267610158035,0.15874632499181887,33.97615339377972,143949823.2750597,0.09657929533222023,4504.692548946241,27692.184566404474,32.945892899452346,2.639436666666666,0.6125165679012345,11.0,10.470076004664103,94.23068404197693,57.86982703208923,0.0009491443634033203
2,1,3,1.0,0.0,0.0,14.0,1588472143.0,1588472263.0,305065.0720829353,177.946294899509,1808445.2158248534,511.5636554321761,79.0,1341.7941315052556,3483.7141071162537,158.0,17304.4584189213,5.279975702523209,2.0,14.856699591984627,302185.09418496763,177.946294899509,1794873.906012915,2879.977897967647,0.0,13571.309811938268,40702.5,158.0,230332.0,0.036985039710998535,8.106231689453125e-06,0.11233901977539062,8698128.003258036,5590.809827370902,28680125.035422344,33.0,2.0,178.0,1008.6666666666666,0.0,2422.0,0.09428596496582031,0.0,0.3526577949523926,3583876.318202963,0.0,21252310.225941423,2.0,0.0,5.0,0.0120611545314765,0.0,0.06522948741912843,4.041304482341775,0.0,9.857802689075472,27522337.79247698,0.0,101048196.22776924,0.01153975557185641,0.0,0.0651822,172.9008337439167,0.0,472.96153846153845,268.3460372960373,0.0,751.2307692307692,1.3437873720482418,0.0,2.0,0.004377777089557303,8.106231689453125e-06,0.0152097941214535,3.763566633410043,0.0,10.427898466587068,16735721.576128798,1827400.189905524,56700666.37808538,0.002113223047322716,8e-06,0.00933321212121212,338.6628216882593,79.0,1245.1915765942026,3215.3680698202165,158.0,17172.003873466754,3.9361883304749665,1.7272727272727273,13.500968366688184,0.705012,0.705012,0.705012,0.2079175,0.2079175,0.2079175,6.333333333333333,0.0,38.0,6.0,1830390.4324976117,3069.3819325930567,20902.284642697523,31.67985421513925,1813110.5651098057,17279.867387805883,244215.0,0.2219102382659912,52188768.01954822,198.0,6052.0,0.5657157897949219,21503257.90921778,12.0,0.072366927188859,24.247826894050647,165134026.75486186,0.06923853343113846,1037.4050024635003,1610.0762237762237,8.062724232289451,0.02626666253734382,22.581399800460257,100414329.45677279,0.012679338283936296,2031.976930129556,19292.2084189213,23.6171299828498,4.230072,1.247505,38.0,12.35048179626465,61.75240898132324,39.21424722671509,0.07617497444152832
1,1,0,1.0,0.0,0.0,41.0,1587942007.0,1587942187.0,1192043.804587451,369.25987502228526,8540179.526512856,614.1428934105022,184.0,1318.6452590772424,4316.411223102651,184.0,21785.792917594157,6.258189798850185,2.0,19.102823272845857,1178086.626071414,265.47337177456063,8468771.092215726,13957.178516037211,0.0,71408.4342971295,46759.625,78.0,336439.0,0.10208916664123535,0.0,0.6063721179962158,7129024.950743394,0.0,35132289.21904762,37.375,1.0,260.0,4918.0,106.0,19954.0,0.06653523445129395,0.0,0.30138397216796875,70424.04296264537,0.0,486550.023526235,5.75,1.0,21.0,0.006723199755890129,0.0,0.04095140099525452,4.518818371479014,0.0,13.404372215270994,6684506.914382161,0.0,30847958.52060255,0.0015552364941761778,0.0,0.004925025,190.40873006471588,84.3548888544378,351.5238095238095,626.3190174143538,106.0,2800.5,1.8502742479045549,1.0,4.25,0.14114120152808862,0.0,1.0820298535483224,4.6513704392247535,0.0,15.073729127645493,6668191.567545152,0.0,17320073.83672417,0.0376781342285363,0.0,0.29229584199134195,423.7341633457863,78.0,1234.2903702228045,3690.092205688297,78.0,21603.15827236916,4.4079155509456305,1.0,16.951885199774903,0.05562099999999999,0.052792999999999986,0.058449,0.013754100649350648,0.013633428571428572,0.013874772727272723,0.375,0.0,2.0,8.0,9536350.436699608,4913.143147284018,34531.28978482121,50.06551839080148,9424693.008571312,111657.42812829769,374077.0,0.8167133331298828,57032199.60594715,299.0,39344.0,0.5322818756103516,563392.343701163,46.0,0.05378559804712103,36.150546971832114,53476055.315057285,0.012441891953409423,1523.269840517727,5010.55213931483,14.802193983236439,1.129129612224709,37.21096351379803,53345532.54036122,0.3014250738282904,3389.8733067662906,29520.737645506375,35.263324407565044,0.4449679999999999,0.11003280519480518,3.0,12.314687592642647,86.20281314849854,73.19595885276794,0.0010440349578857422
